sat_image_path,mask_path,split
images/1_sat.jpg,images/1_mask.png,valid
images/2_sat.jpg,images/2_mask.png,train
images/3_sat.jpg,images/3_mask.png,train
images/4_sat.jpg,images/4_mask.png,train
images/5_sat.jpg,images/5_mask.png,test
images/6_sat.jpg,images/6_mask.png,test
images/7_sat.jpg,images/7_mask.png,test
images/8_sat.jpg,images/8_mask.png,train
images/9_sat.jpg,images/9_mask.png,valid
images/10_sat.jpg,images/10_mask.png,valid
images/11_sat.jpg,images/11_mask.png,train
images/12_sat.jpg,images/12_mask.png,train
images/13_sat.jpg,images/13_mask.png,test
images/14_sat.jpg,images/14_mask.png,valid
images/15_sat.jpg,images/15_mask.png,test
images/16_sat.jpg,images/16_mask.png,test
images/17_sat.jpg,images/17_mask.png,train
images/18_sat.jpg,images/18_mask.png,valid
images/19_sat.jpg,images/19_mask.png,train
images/20_sat.jpg,images/20_mask.png,train
images/21_sat.jpg,images/21_mask.png,train
images/22_sat.jpg,images/22_mask.png,train
images/23_sat.jpg,images/23_mask.png,train
images/24_sat.jpg,images/24_mask.png,train
images/25_sat.jpg,images/25_mask.png,train
images/26_sat.jpg,images/26_mask.png,train
images/27_sat.jpg,images/27_mask.png,train
images/28_sat.jpg,images/28_mask.png,train
images/29_sat.jpg,images/29_mask.png,train
images/30_sat.jpg,images/30_mask.png,valid
images/31_sat.jpg,images/31_mask.png,train
images/32_sat.jpg,images/32_mask.png,valid
images/33_sat.jpg,images/33_mask.png,train
images/34_sat.jpg,images/34_mask.png,train
images/35_sat.jpg,images/35_mask.png,test
images/36_sat.jpg,images/36_mask.png,train
images/37_sat.jpg,images/37_mask.png,test
images/38_sat.jpg,images/38_mask.png,train
images/39_sat.jpg,images/39_mask.png,valid
images/40_sat.jpg,images/40_mask.png,train
images/41_sat.jpg,images/41_mask.png,train
images/42_sat.jpg,images/42_mask.png,train
images/43_sat.jpg,images/43_mask.png,train
images/44_sat.jpg,images/44_mask.png,valid
images/45_sat.jpg,images/45_mask.png,valid
images/46_sat.jpg,images/46_mask.png,train
images/47_sat.jpg,images/47_mask.png,train
images/48_sat.jpg,images/48_mask.png,test
images/49_sat.jpg,images/49_mask.png,train
images/50_sat.jpg,images/50_mask.png,train
images/51_sat.jpg,images/51_mask.png,train
images/52_sat.jpg,images/52_mask.png,train
images/53_sat.jpg,images/53_mask.png,train
images/54_sat.jpg,images/54_mask.png,valid
images/55_sat.jpg,images/55_mask.png,valid
images/56_sat.jpg,images/56_mask.png,train
images/57_sat.jpg,images/57_mask.png,train
images/58_sat.jpg,images/58_mask.png,train
images/59_sat.jpg,images/59_mask.png,train
images/60_sat.jpg,images/60_mask.png,test
images/61_sat.jpg,images/61_mask.png,train
images/62_sat.jpg,images/62_mask.png,test
images/63_sat.jpg,images/63_mask.png,train
images/64_sat.jpg,images/64_mask.png,train
images/65_sat.jpg,images/65_mask.png,train
images/66_sat.jpg,images/66_mask.png,train
images/67_sat.jpg,images/67_mask.png,test
images/68_sat.jpg,images/68_mask.png,train
images/69_sat.jpg,images/69_mask.png,train
images/70_sat.jpg,images/70_mask.png,train
images/71_sat.jpg,images/71_mask.png,valid
images/72_sat.jpg,images/72_mask.png,valid
images/73_sat.jpg,images/73_mask.png,test
images/74_sat.jpg,images/74_mask.png,test
images/75_sat.jpg,images/75_mask.png,test
images/76_sat.jpg,images/76_mask.png,train
images/77_sat.jpg,images/77_mask.png,test
images/78_sat.jpg,images/78_mask.png,test
images/79_sat.jpg,images/79_mask.png,train
images/80_sat.jpg,images/80_mask.png,train
images/81_sat.jpg,images/81_mask.png,test
images/82_sat.jpg,images/82_mask.png,train
images/83_sat.jpg,images/83_mask.png,valid
images/84_sat.jpg,images/84_mask.png,valid
images/85_sat.jpg,images/85_mask.png,valid
images/86_sat.jpg,images/86_mask.png,test
images/87_sat.jpg,images/87_mask.png,train
images/88_sat.jpg,images/88_mask.png,test
images/89_sat.jpg,images/89_mask.png,test
images/90_sat.jpg,images/90_mask.png,valid
images/91_sat.jpg,images/91_mask.png,test
images/92_sat.jpg,images/92_mask.png,train
images/93_sat.jpg,images/93_mask.png,train
images/94_sat.jpg,images/94_mask.png,train
images/95_sat.jpg,images/95_mask.png,test
images/96_sat.jpg,images/96_mask.png,train
images/97_sat.jpg,images/97_mask.png,test
images/98_sat.jpg,images/98_mask.png,train
images/99_sat.jpg,images/99_mask.png,valid
images/100_sat.jpg,images/100_mask.png,train
images/101_sat.jpg,images/101_mask.png,train
images/102_sat.jpg,images/102_mask.png,train
images/103_sat.jpg,images/103_mask.png,valid
images/104_sat.jpg,images/104_mask.png,test
images/105_sat.jpg,images/105_mask.png,train
images/106_sat.jpg,images/106_mask.png,train
images/107_sat.jpg,images/107_mask.png,test
images/108_sat.jpg,images/108_mask.png,test
images/109_sat.jpg,images/109_mask.png,valid
images/110_sat.jpg,images/110_mask.png,valid
images/111_sat.jpg,images/111_mask.png,train
images/112_sat.jpg,images/112_mask.png,train
images/113_sat.jpg,images/113_mask.png,test
images/114_sat.jpg,images/114_mask.png,train
images/115_sat.jpg,images/115_mask.png,test
images/116_sat.jpg,images/116_mask.png,train
images/117_sat.jpg,images/117_mask.png,train
images/118_sat.jpg,images/118_mask.png,train
images/119_sat.jpg,images/119_mask.png,train
images/120_sat.jpg,images/120_mask.png,train
images/121_sat.jpg,images/121_mask.png,test
images/122_sat.jpg,images/122_mask.png,train
images/123_sat.jpg,images/123_mask.png,train
images/124_sat.jpg,images/124_mask.png,valid
images/125_sat.jpg,images/125_mask.png,valid
images/126_sat.jpg,images/126_mask.png,train
images/127_sat.jpg,images/127_mask.png,train
images/128_sat.jpg,images/128_mask.png,test
images/129_sat.jpg,images/129_mask.png,valid
images/130_sat.jpg,images/130_mask.png,valid
images/131_sat.jpg,images/131_mask.png,train
images/132_sat.jpg,images/132_mask.png,train
images/133_sat.jpg,images/133_mask.png,train
images/134_sat.jpg,images/134_mask.png,train
images/135_sat.jpg,images/135_mask.png,valid
images/136_sat.jpg,images/136_mask.png,train
images/137_sat.jpg,images/137_mask.png,train
images/138_sat.jpg,images/138_mask.png,test
images/139_sat.jpg,images/139_mask.png,train
images/140_sat.jpg,images/140_mask.png,test
images/141_sat.jpg,images/141_mask.png,train
images/142_sat.jpg,images/142_mask.png,valid
images/143_sat.jpg,images/143_mask.png,train
images/144_sat.jpg,images/144_mask.png,train
images/145_sat.jpg,images/145_mask.png,train
images/146_sat.jpg,images/146_mask.png,train
images/147_sat.jpg,images/147_mask.png,train
images/148_sat.jpg,images/148_mask.png,test
images/149_sat.jpg,images/149_mask.png,train
images/150_sat.jpg,images/150_mask.png,train
images/151_sat.jpg,images/151_mask.png,train
images/152_sat.jpg,images/152_mask.png,valid
images/153_sat.jpg,images/153_mask.png,test
images/154_sat.jpg,images/154_mask.png,test
